,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1986,1986-09-14,2,2,24.005,IND,@,MIA,L 10-30,,5,10,50.00,50,0,0,64.6,4,27,5.00,5.00,0,0,,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
1,2,1986,1986-09-21,3,3,24.012,IND,,RAM,L 7-24,*,13,22,59.09,95,0,1,50.4,3,30,4.32,2.27,1,4,4.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
2,3,1986,1986-09-28,4,4,24.019,IND,,NYJ,L 7-26,*,21,53,39.62,233,1,1,51.8,1,3,4.40,3.92,2,0,0.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
3,4,1986,1986-10-05,5,5,24.026,IND,@,SFO,L 14-35,*,18,39,46.15,252,1,3,44.0,2,24,6.46,3.51,2,0,0.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
4,5,1986,1986-10-12,6,6,24.033,IND,,NOR,L 14-17,*,24,44,54.55,315,2,1,83.0,3,28,7.16,7.05,1,0,0.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
5,6,1986,1986-10-19,7,7,24.040,IND,@,BUF,L 13-24,*,19,41,46.34,175,1,1,56.5,1,8,4.27,3.66,1,0,0.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
6,7,1986,1986-10-26,8,8,24.047,IND,,MIA,L 13-17,*,14,24,58.33,121,0,1,54.3,0,0,5.04,3.17,1,4,4.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
7,8,1986,1986-11-02,9,9,24.054,IND,,CLE,L 9-24,*,20,42,47.62,208,1,0,70.3,7,49,4.95,5.43,2,11,5.50,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
8,9,1986,1986-11-09,10,10,24.061,IND,,NWE,L 21-30,*,19,36,52.78,236,1,4,43.1,3,24,6.56,2.11,1,1,1.00,1,1,6,0,,0,0,0,0,,Jack Trudeau,TrudJa00
9,10,1986,1986-11-16,11,11,24.068,IND,@,NYJ,L 16-31,*,27,57,47.37,359,1,4,44.4,2,9,6.30,3.49,0,0,,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
10,11,1986,1986-11-23,12,12,24.075,IND,@,HOU,L 17-31,*,9,21,42.86,51,0,1,30.5,1,10,2.43,0.29,1,1,1.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
11,12,1986,1986-11-30,13,13,24.082,IND,,SDG,L 3-17,*,15,28,53.57,130,0,1,51.2,2,1,4.64,3.04,1,0,0.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jack Trudeau,TrudJa00
13,13,1987,1987-09-13,1,1,25.004,IND,,CIN,L 21-23,*,13,23,56.52,206,2,3,75.9,0,0,8.96,4.83,1,0,0.00,0,0,0,0,,0,0,0,0,,Jack Trudeau,TrudJa00
