,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1956,1956-10-06,2,2,23.152,BAL,,DET,L 14-31,,0,2,0.00,0,0,1,0.0,,,0.00,-22.50,1,21,21.00,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
1,2,1956,1956-10-21,4,4,23.167,BAL,@,CHI,L 27-58,,9,19,47.37,131,1,1,65.9,,30,6.89,5.58,2,-4,-2.00,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
2,3,1956,1956-10-28,5,5,23.174,BAL,,GNB,W 28-21,*,8,16,50.00,128,2,1,90.6,,28,8.00,7.69,3,8,2.67,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
3,4,1956,1956-11-11,6,7,23.188,BAL,@,CLE,W 21-7,*,5,14,35.71,21,0,0,44.3,,16,1.50,1.50,4,40,10.00,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
4,5,1956,1956-11-18,7,8,23.195,BAL,@,DET,L 3-27,*,17,30,56.67,314,0,1,79.0,,16,10.47,8.97,2,28,14.00,0,1,1,1.00,0,0,0,Johnny Unitas,UnitJo00
5,6,1956,1956-11-25,8,9,23.202,BAL,,RAM,W 56-21,*,18,24,75.00,293,3,1,137.7,,36,12.21,12.83,4,11,2.75,1,0,0,,0,1,6,Johnny Unitas,UnitJo00
6,7,1956,1956-12-02,9,10,23.209,BAL,,SFO,L 17-20,*,18,30,60.00,179,0,2,49.2,,29,5.97,2.97,2,21,10.50,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
7,8,1956,1956-12-09,10,11,23.216,BAL,@,RAM,L 7-31,*,14,29,48.28,147,1,1,60.6,,23,5.07,4.21,4,16,4.00,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
8,9,1956,1956-12-16,11,12,23.223,BAL,@,SFO,L 17-30,*,11,16,68.75,124,1,1,86.5,,20,7.75,6.19,5,26,5.20,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
9,10,1956,1956-12-23,12,13,23.230,BAL,,WAS,W 19-17,,10,18,55.56,161,1,1,81.0,,4,8.94,7.56,1,-12,-12.00,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Johnny Unitas,UnitJo00
11,11,1957,1957-09-29,1,1,24.145,BAL,,DET,W 34-14,*,14,23,60.87,241,4,3,96.5,,,10.48,8.09,4,2,0.50,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
12,12,1957,1957-10-05,2,2,24.151,BAL,,CHI,W 21-10,*,17,26,65.38,184,2,1,95.7,,22,7.08,6.88,5,0,0.00,0,0,0,,0,0,0,Johnny Unitas,UnitJo00
