,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1949,1949-09-23,1,1,23.192,RAM,,DET,W 27-24,,5,8,62.50,76,1,0,133.3,,,9.50,12.00,1,2,2.00,0,0,0,,,,,Norm Van Brocklin,VanBNo00
1,2,1949,1949-10-02,2,2,23.201,RAM,@,GNB,W 48-7,,3,9,33.33,65,0,0,60.0,,,7.22,7.22,,,,,0,0,,,,,Norm Van Brocklin,VanBNo00
2,3,1949,1949-10-23,5,5,23.222,RAM,,GNB,W 35-7,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,,,,,Norm Van Brocklin,VanBNo00
3,4,1949,1949-11-06,7,7,23.236,RAM,@,PHI,L 14-38,,3,8,37.50,75,0,1,32.8,,,9.38,3.75,,,,,0,0,,,,,Norm Van Brocklin,VanBNo00
4,5,1949,1949-11-13,8,8,23.243,RAM,@,PIT,T 7-7,,3,6,50.00,58,0,0,84.0,,,9.67,9.67,,,,,0,0,,,,,Norm Van Brocklin,VanBNo00
5,6,1949,1949-11-20,9,9,23.250,RAM,@,CRD,T 28-28,,8,12,66.67,96,0,1,56.3,,,8.00,4.25,,,,,0,0,,,,,Norm Van Brocklin,VanBNo00
6,7,1949,1949-11-27,10,10,23.257,RAM,,NYY,W 42-20,,4,4,100.00,79,1,0,158.3,,,19.75,24.75,,,,,0,0,,,,,Norm Van Brocklin,VanBNo00
7,8,1949,1949-12-11,12,12,23.271,RAM,,WAS,W 53-27,,6,10,60.00,152,4,0,143.7,,,15.20,23.20,3,-3,-1.00,0,0,0,,,,,Norm Van Brocklin,VanBNo00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Norm Van Brocklin,VanBNo00
9,9,1950,1950-09-17,1,1,24.186,RAM,,CHI,L 20-24,*,7,15,46.67,114,0,1,44.9,,8,7.60,4.60,1,-7,-7.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
10,10,1950,1950-09-22,2,2,24.191,RAM,,NYY,W 45-28,,10,18,55.56,175,3,1,105.3,,,9.72,10.56,2,18,9.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
11,11,1950,1950-10-01,3,3,24.200,RAM,@,SFO,W 35-14,,6,10,60.00,101,0,0,94.2,,,10.10,10.10,2,4,2.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
12,12,1950,1950-10-07,4,4,24.206,RAM,@,PHI,L 20-56,,19,41,46.34,268,1,3,45.6,,16,6.54,3.73,1,1,1.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
13,13,1950,1950-10-15,5,5,24.214,RAM,@,DET,W 30-28,*,18,36,50.00,293,2,2,73.0,,13,8.14,6.75,1,2,2.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
14,14,1950,1950-10-22,6,6,24.221,RAM,,BCL,W 70-27,*,11,14,78.57,204,2,2,118.7,,12,14.57,11.00,,,,,0,0,0,0,,,Norm Van Brocklin,VanBNo00
15,15,1950,1950-10-29,7,7,24.228,RAM,,DET,W 65-24,*,13,17,76.47,293,5,0,157.5,,,17.24,23.12,2,1,0.50,1,1,6,0,0,,,Norm Van Brocklin,VanBNo00
16,16,1950,1950-11-05,8,8,24.235,RAM,,SFO,W 28-21,*,3,7,42.86,89,0,2,50.3,,19,12.71,-0.14,1,0,0.00,0,0,0,0,0,,,Norm Van Brocklin,VanBNo00
