,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2001,2001-09-09,1,1,21.075,ATL,@,SFO,L 13-16,,0,4,0.00,0,0,0,39.6,0,0,0.00,0.00,2,32,16.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
1,2,2001,2001-09-23,2,2,21.089,ATL,,CAR,W 24-16,,2,2,100.00,27,0,0,118.7,1,11,13.50,13.50,3,23,7.67,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
2,3,2001,2001-09-30,3,3,,ATL,@,ARI,W 34-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
3,4,2001,2001-10-07,4,4,21.103,ATL,,CHI,L 3-31,,12,18,66.67,186,0,0,100.7,5,28,10.33,10.33,5,18,3.60,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
4,5,2001,2001-10-14,5,5,,ATL,,SFO,L 31-37,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
5,6,2001,2001-10-21,6,6,,ATL,@,NOR,W 20-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
6,7,2001,2001-11-04,7,8,21.131,ATL,,NWE,L 10-24,,2,9,22.22,56,0,0,53.0,3,15,6.22,6.22,2,50,25.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
7,8,2001,2001-11-11,8,9,21.138,ATL,,DAL,W 20-13,*,4,12,33.33,32,1,0,70.1,2,5,2.67,4.33,2,4,2.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
8,9,2001,2001-11-18,9,10,,ATL,@,GNB,W 23-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
9,10,2001,2001-11-25,10,11,,ATL,@,CAR,W 10-7,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
10,11,2001,2001-12-02,11,12,21.159,ATL,,STL,L 6-35,,7,18,38.89,94,0,0,56.2,2,16,5.22,5.22,6,52,8.67,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
11,12,2001,2001-12-09,12,13,,ATL,,NOR,L 10-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
12,13,2001,2001-12-16,13,14,,ATL,@,IND,L 27-41,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
13,14,2001,2001-12-23,14,15,,ATL,,BUF,W 33-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Michael Vick,VickMi00
14,15,2001,2001-12-30,15,16,21.187,ATL,@,MIA,L 14-21,,11,20,55.00,214,1,2,69.6,3,21,10.70,7.20,5,63,12.60,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
15,16,2001,2002-01-06,16,17,21.194,ATL,@,STL,L 13-31,*,12,30,40.00,176,0,1,46.0,5,17,5.87,4.37,6,47,7.83,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,,,,,,,,Michael Vick,VickMi00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Michael Vick,VickMi00
17,17,2002,2002-09-08,1,1,22.074,ATL,@,GNB,L 34-37,*,15,23,65.22,209,1,0,108.8,4,15,9.09,9.96,9,72,8.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
18,18,2002,2002-09-15,2,2,22.081,ATL,,CHI,L 13-14,*,17,28,60.71,166,1,0,89.3,4,31,5.93,6.64,10,56,5.60,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
19,19,2002,2002-09-22,3,3,22.088,ATL,,CIN,W 30-3,*,16,26,61.54,174,2,0,106.9,1,11,6.69,8.23,5,56,11.20,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
20,20,2002,2002-10-06,4,5,22.102,ATL,,TAM,L 6-20,*,4,12,33.33,37,0,0,42.7,3,14,3.08,3.08,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
21,21,2002,2002-10-13,5,6,,ATL,@,NYG,W 17-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Michael Vick,VickMi00
22,22,2002,2002-10-20,6,7,22.116,ATL,,CAR,W 30-0,*,16,22,72.73,178,0,0,96.4,1,8,8.09,8.09,6,91,15.17,1,1,0,16,,0,0.0%,16.00,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
23,23,2002,2002-10-27,7,8,22.123,ATL,@,NOR,W 37-35,*,16,24,66.67,195,0,0,91.5,3,9,8.13,8.13,10,91,9.10,2,0,0,0,,0,0.0%,,2,12,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
24,24,2002,2002-11-03,8,9,22.130,ATL,,BAL,W 20-17,*,12,24,50.00,136,0,1,50.0,3,21,5.67,3.79,7,-5,-0.71,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,0,0,,,,,,,,Michael Vick,VickMi00
25,25,2002,2002-11-10,9,10,22.137,ATL,@,PIT,T 34-34,*,24,46,52.17,294,1,0,79.4,3,15,6.39,6.83,10,38,3.80,1,0,0,0,,0,0.0%,,1,6,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
26,26,2002,2002-11-17,10,11,22.144,ATL,,NOR,W 24-17,*,11,23,47.83,160,2,1,81.8,3,23,6.96,6.74,7,55,7.86,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
27,27,2002,2002-11-24,11,12,22.151,ATL,@,CAR,W 41-0,*,19,24,79.17,272,2,0,141.7,0,0,11.33,13.00,5,20,4.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
28,28,2002,2002-12-01,12,13,22.158,ATL,@,MIN,W 30-24,*,11,28,39.29,173,1,1,57.6,2,21,6.18,5.29,10,173,17.30,2,0,0,0,,0,0.0%,,2,12,2,0,0,0,-3,0,,,,,,,,Michael Vick,VickMi00
29,29,2002,2002-12-08,13,14,22.165,ATL,@,TAM,L 10-34,*,12,25,48.00,125,1,1,59.6,1,6,5.00,4.00,6,9,1.50,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
30,30,2002,2002-12-15,14,15,22.172,ATL,,SEA,L 24-30,*,21,38,55.26,240,2,2,70.1,2,17,6.32,5.00,13,40,3.08,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Michael Vick,VickMi00
31,31,2002,2002-12-22,15,16,22.179,ATL,,DET,W 36-15,*,20,38,52.63,337,2,1,89.5,1,1,8.87,8.74,8,42,5.25,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Michael Vick,VickMi00
32,32,2002,2002-12-29,16,17,22.186,ATL,@,CLE,L 16-24,*,17,40,42.50,240,1,1,60.4,2,14,6.00,5.38,6,38,6.33,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Michael Vick,VickMi00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Michael Vick,VickMi00
