,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
0,1,1945,1945-10-07,2,3,25.073,RAM,,CHI,W 17-0,,,,,,,,,,,,,,,,,,,,,0,0,1,22,0,,Bob Waterfield,WateBo01
1,2,1945,1945-10-21,4,5,25.087,RAM,@,CHI,W 41-21,,,,,,,,,,,,,,,,,,,,,0,0,1,9,0,,Bob Waterfield,WateBo01
2,3,1945,1945-11-11,7,8,25.108,RAM,,GNB,W 20-7,,,,,,,,,,,,,,,,,,,,,0,0,3,54,0,,Bob Waterfield,WateBo01
3,4,1945,1945-11-22,9,9,25.119,RAM,@,DET,W 28-21,,12,21,57.14,329,2,3,93.9,,,15.67,11.14,0,0,,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
4,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Bob Waterfield,WateBo01
5,5,1946,1946-10-13,3,4,26.079,RAM,@,CHI,T 28-28,,,,,,,,,,,,,,,,,,,,,0,0,1,8,0,,Bob Waterfield,WateBo01
6,6,1946,1946-11-17,8,9,26.114,RAM,,CRD,W 17-14,,,,,,,,,,,,,,,,,,,,,0,0,3,60,0,,Bob Waterfield,WateBo01
7,7,1946,1946-12-01,10,10,26.128,RAM,@,NYG,W 31-21,,22,29,75.86,312,3,1,130.2,,,10.76,11.28,0,0,,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
8,8,1946,1946-12-08,11,12,26.135,RAM,,GNB,W 38-17,,,,,,,,,,,,,,,,,,,,,0,0,1,4,0,,Bob Waterfield,WateBo01
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Bob Waterfield,WateBo01
