,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2017,2017-09-10,1,1,21.361,HOU,,JAX,L 7-29,,12,23,52.17,102,1,1,60.4,4,21,4.43,3.35,2,16,8.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,48,61%,0,0%,0,0%,,Deshaun Watson,WatsDe00
1,2,2017,2017-09-14,2,2,22.000,HOU,@,CIN,W 13-9,*,15,24,62.50,125,0,0,75.9,3,27,5.21,5.21,5,67,13.40,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
2,3,2017,2017-09-24,3,3,22.010,HOU,@,NWE,L 33-36,*,22,33,66.67,301,2,2,90.6,2,9,9.12,7.61,8,41,5.13,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,71,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
3,4,2017,2017-10-01,4,4,22.017,HOU,,TEN,W 57-14,*,25,34,73.53,283,4,1,125.0,1,3,8.32,9.35,4,24,6.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,78,93%,0,0%,0,0%,,Deshaun Watson,WatsDe00
4,5,2017,2017-10-08,5,5,22.024,HOU,,KAN,L 34-42,*,16,31,51.61,261,5,0,119.8,3,13,8.42,11.65,3,31,10.33,0,0,0,0,,0,0.0%,,1,0,2,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
5,6,2017,2017-10-15,6,6,22.031,HOU,,CLE,W 33-17,*,17,29,58.62,225,3,1,103.4,1,8,7.76,8.28,6,23,3.83,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
6,7,2017,2017-10-29,7,8,22.045,HOU,@,SEA,L 38-41,*,19,30,63.33,402,4,3,106.9,5,35,13.40,11.57,8,67,8.38,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,100%,0,0%,0,0%,,Deshaun Watson,WatsDe00
7,8,2017,2017-11-05,8,9,,HOU,,IND,L 14-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
8,9,2017,2017-11-12,9,10,,HOU,@,LAR,L 7-33,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
9,10,2017,2017-11-19,10,11,,HOU,,ARI,W 31-21,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
10,11,2017,2017-11-27,11,12,,HOU,@,BAL,L 16-23,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
11,12,2017,2017-12-03,12,13,,HOU,@,TEN,L 13-24,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
12,13,2017,2017-12-10,13,14,,HOU,,SFO,L 16-26,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
13,14,2017,2017-12-17,14,15,,HOU,@,JAX,L 7-45,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Deshaun Watson,WatsDe00
