,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1978,1978-09-02,1,1,23.024,TAM,,NYG,L 13-19,*,1,5,20.00,9,0,1,0.0,,,1.80,-7.20,,,,,0,0,Doug Williams,WillDo01
1,2,1978,1978-09-17,3,3,23.039,TAM,@,MIN,W 16-10,*,5,19,26.32,63,1,0,58.4,,,3.32,4.37,3,-4,-1.33,0,0,0,Doug Williams,WillDo01
2,3,1978,1978-09-24,4,4,23.046,TAM,,ATL,W 14-9,*,6,23,26.09,74,1,0,55.0,1,13,3.22,4.09,4,-8,-2.00,0,0,0,Doug Williams,WillDo01
3,4,1978,1978-10-01,5,5,23.053,TAM,,MIN,L 7-24,*,16,35,45.71,311,1,3,51.0,2,28,8.89,5.60,4,10,2.50,0,0,0,Doug Williams,WillDo01
4,5,1978,1978-10-08,6,6,23.060,TAM,@,KAN,W 30-13,*,14,23,60.87,226,1,0,108.2,,,9.83,10.70,2,0,0.00,0,0,0,Doug Williams,WillDo01
5,6,1978,1978-10-15,7,7,23.067,TAM,@,NYG,L 14-17,*,7,27,25.93,100,0,2,11.7,,,3.70,0.37,3,2,0.67,0,0,0,Doug Williams,WillDo01
6,7,1978,1978-10-22,8,8,23.074,TAM,,CHI,W 33-19,*,11,19,57.89,180,2,1,103.0,1,7,9.47,9.21,5,9,1.80,1,1,6,Doug Williams,WillDo01
7,8,1978,1978-10-29,9,9,23.081,TAM,@,GNB,L 7-9,*,5,17,29.41,98,0,1,26.6,,,5.76,3.12,5,14,2.80,0,0,0,Doug Williams,WillDo01
8,9,1978,1978-11-05,10,10,23.088,TAM,@,RAM,L 23-26,*,1,4,25.00,13,0,0,40.6,,,3.25,3.25,,,,,0,0,Doug Williams,WillDo01
9,10,1978,1978-12-17,16,16,23.130,TAM,,NOR,L 10-17,*,7,22,31.82,96,1,0,61.9,2,21,4.36,5.27,1,0,0.00,0,0,0,Doug Williams,WillDo01
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Doug Williams,WillDo01
11,11,1979,1979-09-01,1,1,24.023,TAM,,DET,W 31-16,*,4,16,25.00,99,2,0,92.4,,,6.19,8.69,2,16,8.00,0,0,0,Doug Williams,WillDo01
12,12,1979,1979-09-09,2,2,24.031,TAM,@,BAL,W 29-26,*,10,29,34.48,196,2,2,53.2,,,6.76,5.03,3,8,2.67,0,0,0,Doug Williams,WillDo01
13,13,1979,1979-09-16,3,3,24.038,TAM,@,GNB,W 21-10,*,12,24,50.00,132,1,1,63.2,,,5.50,4.46,1,2,2.00,0,0,0,Doug Williams,WillDo01
14,14,1979,1979-09-23,4,4,24.045,TAM,,RAM,W 21-6,*,5,20,25.00,101,2,1,60.6,,,5.05,4.80,2,4,2.00,0,0,0,Doug Williams,WillDo01
15,15,1979,1979-09-30,5,5,24.052,TAM,@,CHI,W 17-13,*,14,31,45.16,168,1,2,46.2,1,9,5.42,3.16,3,16,5.33,0,0,0,Doug Williams,WillDo01
16,16,1979,1979-10-07,6,6,24.059,TAM,@,NYG,L 14-17,*,14,38,36.84,182,2,3,37.4,,,4.79,2.29,,,,,0,0,Doug Williams,WillDo01
17,17,1979,1979-10-14,7,7,24.066,TAM,,NOR,L 14-42,*,10,28,35.71,142,1,2,35.1,,,5.07,2.57,,,,,0,0,Doug Williams,WillDo01
18,18,1979,1979-10-21,8,8,24.073,TAM,,GNB,W 21-3,*,6,10,60.00,85,2,0,127.1,,,8.50,12.50,2,3,1.50,1,1,6,Doug Williams,WillDo01
19,19,1979,1979-10-28,9,9,24.080,TAM,@,MIN,W 12-10,*,12,25,48.00,267,0,0,86.6,1,9,10.68,10.68,2,-1,-0.50,0,0,0,Doug Williams,WillDo01
20,20,1979,1979-11-04,10,10,24.087,TAM,@,ATL,L 14-17,*,11,24,45.83,198,1,1,71.2,1,4,8.25,7.21,1,0,0.00,0,0,0,Doug Williams,WillDo01
21,21,1979,1979-11-11,11,11,24.094,TAM,@,DET,W 16-14,*,17,34,50.00,182,1,1,63.6,,,5.35,4.62,4,-6,-1.50,0,0,0,Doug Williams,WillDo01
22,22,1979,1979-11-18,12,12,24.101,TAM,,NYG,W 31-3,*,12,24,50.00,176,2,0,102.1,,,7.33,9.00,1,9,9.00,0,0,0,Doug Williams,WillDo01
