,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2012,2012-09-09,1,1,23.285,SEA,@,ARI,L 16-20,*,18,34,52.94,153,1,1,62.5,3,14,4.50,3.76,8,20,2.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,1,-8,0,75,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
1,2,2012,2012-09-16,2,2,23.292,SEA,,DAL,W 27-7,*,15,20,75.00,151,1,0,112.7,2,18,7.55,8.55,4,28,7.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
2,3,2012,2012-09-24,3,3,23.300,SEA,,GNB,W 14-12,*,10,21,47.62,130,2,0,99.3,1,19,6.19,8.10,3,18,6.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
3,4,2012,2012-09-30,4,4,23.306,SEA,@,STL,L 13-19,*,17,25,68.00,160,0,3,45.8,2,20,6.40,1.00,7,14,2.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
4,5,2012,2012-10-07,5,5,23.313,SEA,@,CAR,W 16-12,*,19,25,76.00,221,1,2,82.2,2,9,8.84,6.04,5,12,2.40,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
5,6,2012,2012-10-14,6,6,23.320,SEA,,NWE,W 24-23,*,16,27,59.26,293,3,0,133.7,2,10,10.85,13.07,5,17,3.40,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,57,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
6,7,2012,2012-10-18,7,7,23.324,SEA,@,SFO,L 6-13,*,9,23,39.13,122,0,1,38.7,2,7,5.30,3.35,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
7,8,2012,2012-10-28,8,8,23.334,SEA,@,DET,L 24-28,*,25,35,71.43,236,2,1,96.8,0,0,6.74,6.60,1,9,9.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,56,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
8,9,2012,2012-11-04,9,9,23.341,SEA,,MIN,W 30-20,*,16,24,66.67,173,3,0,127.3,1,8,7.21,9.71,9,27,3.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-1,0,75,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
9,10,2012,2012-11-11,10,10,23.348,SEA,,NYJ,W 28-7,*,12,19,63.16,188,2,0,131.0,4,22,9.89,12.00,7,34,4.86,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,72,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
10,11,2012,2012-11-25,11,12,23.362,SEA,@,MIA,L 21-24,*,21,27,77.78,224,2,0,125.9,2,8,8.30,9.78,5,38,7.60,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,57,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
11,12,2012,2012-12-02,12,13,24.003,SEA,@,CHI,W 23-17,*,23,37,62.16,293,2,0,104.9,2,10,7.92,9.00,9,71,7.89,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,71,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
12,13,2012,2012-12-09,13,14,24.010,SEA,,ARI,W 58-0,*,7,13,53.85,148,1,1,88.0,1,7,11.38,9.46,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,39,57%,0,0%,0,0%,,Russell Wilson,WilsRu00
13,14,2012,2012-12-16,14,15,24.017,SEA,@,BUF,W 50-17,*,14,23,60.87,205,1,0,104.4,2,9,8.91,9.78,9,92,10.22,3,0,0,0,,0,0.0%,,3,18,0,0,0,0,0,0,54,93%,0,0%,0,0%,,Russell Wilson,WilsRu00
14,15,2012,2012-12-23,15,16,24.024,SEA,,SFO,W 42-13,*,15,21,71.43,171,4,1,115.3,1,1,8.14,9.81,6,29,4.83,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,,Russell Wilson,WilsRu00
15,16,2012,2012-12-30,16,17,24.031,SEA,,STL,W 20-13,*,15,19,78.95,250,1,0,136.3,6,41,13.16,14.21,10,58,5.80,1,0,0,0,,0,0.0%,,1,6,1,0,0,1,0,0,60,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Russell Wilson,WilsRu00
17,17,2013,2013-09-08,1,1,24.283,SEA,@,CAR,W 12-7,*,25,33,75.76,320,1,0,115.7,2,20,9.70,10.30,5,7,1.40,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,65,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
18,18,2013,2013-09-15,2,2,24.290,SEA,,SFO,W 29-3,*,8,19,42.11,142,1,1,63.9,4,24,7.47,6.16,10,33,3.30,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-3,0,76,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
19,19,2013,2013-09-22,3,3,24.297,SEA,,JAX,W 45-17,*,14,21,66.67,202,4,1,117.5,2,8,9.62,11.29,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,47,69%,0,0%,0,0%,,Russell Wilson,WilsRu00
20,20,2013,2013-09-29,4,4,24.304,SEA,@,HOU,W 23-20,*,12,23,52.17,123,0,1,49.7,5,32,5.35,3.39,10,77,7.70,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-1,0,61,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
21,21,2013,2013-10-06,5,5,24.311,SEA,@,IND,L 28-34,*,15,31,48.39,210,2,1,78.7,2,5,6.77,6.61,13,102,7.85,0,0,0,0,,0,0.0%,,0,0,1,1,0,1,0,0,69,100%,0,0%,0,0%,,Russell Wilson,WilsRu00
