,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1980,1980-09-28,4,4,21.339,MIA,,NOR,W 21-16,*,4,15,26.67,61,0,3,4.4,,,4.07,-4.93,2,22,11.00,0,,,,,0,0,David Woodley,WoodDa00
1,2,1980,1980-10-05,5,5,21.346,MIA,,BAL,L 17-30,,2,2,100.00,14,0,0,95.8,,,7.00,7.00,,,,,,,,,0,0,David Woodley,WoodDa00
2,3,1980,1980-10-12,6,6,21.353,MIA,@,NWE,L 0-34,,11,28,39.29,48,0,2,17.6,4,32,1.71,-1.50,,,,,,,,,0,0,David Woodley,WoodDa00
3,4,1980,1980-10-19,7,7,21.360,MIA,,BUF,W 17-14,*,11,17,64.71,93,1,1,73.9,1,10,5.47,4.00,9,31,3.44,0,,,,,0,0,David Woodley,WoodDa00
4,5,1980,1980-10-27,8,8,22.002,MIA,@,NYJ,L 14-17,*,22,42,52.38,224,1,2,56.1,2,16,5.33,3.67,2,0,0.00,0,,,,,0,0,David Woodley,WoodDa00
5,6,1980,1980-11-02,9,9,22.008,MIA,@,OAK,L 10-16,*,11,16,68.75,75,0,2,39.3,,,4.69,-0.94,3,13,4.33,0,,,,,0,0,David Woodley,WoodDa00
6,7,1980,1980-11-09,10,10,22.015,MIA,@,RAM,W 35-14,*,17,28,60.71,161,3,0,112.4,,,5.75,7.89,9,51,5.67,2,,,,,2,12,David Woodley,WoodDa00
7,8,1980,1980-11-16,11,11,22.022,MIA,,SFO,W 17-13,*,18,25,72.00,222,2,1,109.1,1,10,8.88,8.68,9,25,2.78,0,,,,,0,0,David Woodley,WoodDa00
8,9,1980,1980-11-20,12,12,22.026,MIA,,SDG,L 24-27,*,22,34,64.71,251,1,2,72.1,5,29,7.38,5.32,8,28,3.50,0,,,,,0,0,David Woodley,WoodDa00
9,10,1980,1980-11-30,13,13,22.036,MIA,@,PIT,L 10-23,*,14,26,53.85,143,1,1,66.7,,,5.50,4.54,3,15,5.00,0,,,,,0,0,David Woodley,WoodDa00
10,11,1980,1980-12-08,14,14,22.044,MIA,,NWE,W 16-13,*,15,24,62.50,192,1,0,101.4,2,19,8.00,8.83,2,6,3.00,0,,,,,0,0,David Woodley,WoodDa00
11,12,1980,1980-12-14,15,15,22.050,MIA,@,BAL,W 24-14,*,9,29,31.03,143,3,1,68.6,,,4.93,5.45,3,9,3.00,0,,,,,0,0,David Woodley,WoodDa00
12,13,1980,1980-12-20,16,16,22.056,MIA,,NYJ,L 17-24,*,20,41,48.78,223,1,2,53.2,2,11,5.44,3.73,5,14,2.80,1,,,,,1,6,David Woodley,WoodDa00
