,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1962,1962-09-23,3,3,26.206,SDG,,HOU,L 17-42,,16,33,48.48,294,2,1,87.2,,,8.91,8.76,1,0,0.00,0,0,0,Dick Wood,WoodDi00
1,2,1962,1962-09-30,4,4,26.213,SDG,@,OAK,W 42-33,*,3,7,42.86,31,1,0,95.8,,,4.43,7.29,,,,,0,0,Dick Wood,WoodDi00
2,3,1962,1962-10-07,5,5,26.220,SDG,,DTX,W 32-28,*,1,1,100.00,36,0,0,118.7,,,36.00,36.00,,,,,0,0,Dick Wood,WoodDi00
3,4,1962,1962-10-13,6,6,26.226,SDG,@,BUF,L 10-35,,8,20,40.00,70,0,2,10.4,,,3.50,-1.00,,,,,0,0,Dick Wood,WoodDi00
4,5,1962,1962-10-19,7,7,26.232,SDG,@,BOS,L 20-24,,8,23,34.78,162,1,3,35.3,,,7.04,2.04,,,,,0,0,Dick Wood,WoodDi00
5,6,1962,1962-10-28,8,8,26.241,SDG,@,NYT,L 3-23,,5,13,38.46,62,0,1,22.0,,,4.77,1.31,,,,,0,0,Dick Wood,WoodDi00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Dick Wood,WoodDi00
7,7,1963,1963-09-08,1,1,27.191,NYJ,@,BOS,L 14-38,*,16,37,43.24,164,1,4,26.0,0,0,4.43,0.11,,,,,0,0,Dick Wood,WoodDi00
8,8,1963,1963-09-22,2,3,27.205,NYJ,,HOU,W 24-17,*,15,33,45.45,198,1,1,62.4,0,0,6.00,5.24,1,11,11.00,0,0,0,Dick Wood,WoodDi00
9,9,1963,1963-09-28,3,4,27.211,NYJ,,OAK,W 10-7,*,12,28,42.86,196,1,5,39.3,0,0,7.00,-0.32,2,0,0.00,0,0,0,Dick Wood,WoodDi00
10,10,1963,1963-10-05,4,5,27.218,NYJ,,BOS,W 31-24,*,14,22,63.64,201,3,0,132.8,0,0,9.14,11.86,,,,,0,0,Dick Wood,WoodDi00
11,11,1963,1963-10-13,5,6,27.226,NYJ,@,SDG,L 20-24,*,15,31,48.39,220,1,0,82.7,0,0,7.10,7.74,,,,,0,0,Dick Wood,WoodDi00
12,12,1963,1963-10-20,6,7,27.233,NYJ,@,OAK,L 26-49,*,10,32,31.25,148,1,2,31.8,0,0,4.63,2.44,1,2,2.00,0,0,0,Dick Wood,WoodDi00
13,13,1963,1963-10-26,7,8,27.239,NYJ,,DEN,T 35-35,*,14,36,38.89,231,4,1,86.7,0,0,6.42,7.39,,,,,0,0,Dick Wood,WoodDi00
14,14,1963,1963-11-02,8,9,27.246,NYJ,,SDG,L 7-53,*,15,30,50.00,173,0,1,53.9,0,0,5.77,4.27,2,3,1.50,1,1,6,Dick Wood,WoodDi00
15,15,1963,1963-11-10,9,10,27.254,NYJ,@,HOU,L 27-31,*,20,40,50.00,312,3,5,61.7,0,0,7.80,3.68,1,1,1.00,0,0,0,Dick Wood,WoodDi00
16,16,1963,1963-11-17,10,11,27.261,NYJ,@,DEN,W 14-9,*,16,34,47.06,249,2,0,91.4,0,0,7.32,8.50,,,,,0,0,Dick Wood,WoodDi00
17,17,1963,1963-12-01,11,13,27.275,NYJ,,KAN,W 17-0,*,13,29,44.83,112,1,0,67.0,0,0,3.86,4.55,,,,,0,0,Dick Wood,WoodDi00
18,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Dick Wood,WoodDi00
19,18,1964,1964-09-12,1,1,28.196,NYJ,,DEN,W 30-6,*,9,18,50.00,144,2,0,114.1,0,0,8.00,10.22,2,-3,-1.50,0,0,0,Dick Wood,WoodDi00
