,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1984,1984-09-09,2,2,23.232,GNB,@,RAI,L 7-28,,10,24,41.67,67,1,2,28.5,2,12,2.79,-0.13,0,0,,0,0,0,Randy Wright,WrigRa00
1,2,1984,1984-09-23,4,4,23.246,GNB,@,DAL,L 6-20,,6,18,33.33,52,0,3,2.8,1,3,2.89,-4.61,2,5,2.50,0,0,0,Randy Wright,WrigRa00
2,3,1984,1984-10-15,7,7,23.268,GNB,@,DEN,L 14-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,Randy Wright,WrigRa00
3,4,1984,1984-10-28,9,9,23.281,GNB,,DET,W 41-9,,1,1,100.00,6,0,0,91.7,0,0,6.00,6.00,1,5,5.00,0,0,0,Randy Wright,WrigRa00
4,5,1984,1984-11-11,11,11,23.295,GNB,,MIN,W 45-17,,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00,2,1,0.50,0,0,0,Randy Wright,WrigRa00
5,6,1984,1984-11-18,12,12,23.302,GNB,,RAM,W 31-6,,0,0,,0,0,0,,1,2,,,0,0,,0,0,0,Randy Wright,WrigRa00
6,7,1984,1984-11-22,13,13,23.306,GNB,@,DET,L 28-31,,5,7,71.43,100,1,1,113.7,0,0,14.29,10.71,0,0,,0,0,0,Randy Wright,WrigRa00
7,8,1984,1984-12-09,15,15,23.323,GNB,@,CHI,W 20-14,*,4,10,40.00,75,0,0,66.7,0,0,7.50,7.50,3,0,0.00,0,0,0,Randy Wright,WrigRa00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Randy Wright,WrigRa00
9,9,1985,1985-09-22,3,3,24.244,GNB,,NYJ,L 3-24,,8,15,53.33,84,0,1,42.1,2,23,5.60,2.60,0,0,,0,0,0,Randy Wright,WrigRa00
10,10,1985,1985-09-29,4,4,24.251,GNB,@,STL,L 28-43,*,8,17,47.06,77,0,2,20.6,1,6,4.53,-0.76,4,1,0.25,0,0,0,Randy Wright,WrigRa00
11,11,1985,1985-10-06,5,5,24.258,GNB,,DET,W 43-10,,6,9,66.67,111,2,0,148.6,1,10,12.33,16.78,0,0,,0,0,0,Randy Wright,WrigRa00
12,12,1985,1985-10-21,7,7,24.273,GNB,@,CHI,L 7-23,,9,22,40.91,179,0,1,51.1,3,18,8.14,6.09,1,8,8.00,0,0,0,Randy Wright,WrigRa00
