,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1985,1985-11-24,12,12,24.044,TAM,,DET,W 19-16,*,16,27,59.26,167,0,0,77.2,6,48,6.19,6.19,10,60,6.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
1,2,1985,1985-12-01,13,13,24.051,TAM,@,GNB,L 0-21,*,8,17,47.06,53,0,1,29.8,5,42,3.12,0.47,7,31,4.43,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
2,3,1985,1985-12-08,14,14,24.058,TAM,@,MIN,L 7-26,*,13,32,40.63,187,1,3,31.6,3,11,5.84,2.25,8,53,6.63,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
3,4,1985,1985-12-15,15,15,24.065,TAM,,IND,L 23-31,*,14,25,56.00,251,1,2,70.6,2,21,10.04,7.24,8,49,6.13,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
4,5,1985,1985-12-22,16,16,24.072,TAM,,GNB,L 17-20,*,21,37,56.76,277,1,2,67.1,5,36,7.49,5.59,7,40,5.71,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
5,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Young,YounSt00
6,6,1986,1986-09-21,3,3,24.345,TAM,@,DET,W 24-20,*,6,15,40.00,39,0,0,47.9,1,15,2.60,2.60,5,24,4.80,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
7,7,1986,1986-09-28,4,4,24.352,TAM,,ATL,L 20-23,*,12,21,57.14,160,1,1,77.5,1,13,7.62,6.43,7,68,9.71,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
8,8,1986,1986-10-05,5,5,24.359,TAM,@,RAM,L 20-26,*,8,20,40.00,83,0,0,52.7,4,23,4.15,4.15,8,37,4.63,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
9,9,1986,1986-10-12,6,6,25.001,TAM,,STL,L 19-30,*,15,29,51.72,260,1,0,94.0,3,18,8.97,9.66,10,47,4.70,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
10,10,1986,1986-10-19,7,7,25.008,TAM,@,NOR,L 7-38,*,11,15,73.33,143,0,0,102.9,3,23,9.53,9.53,2,12,6.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
11,11,1986,1986-10-26,8,8,25.015,TAM,@,KAN,L 20-27,*,11,20,55.00,124,1,1,69.6,5,38,6.20,4.95,4,29,7.25,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
12,12,1986,1986-11-02,9,9,25.022,TAM,,BUF,W 34-28,*,14,24,58.33,193,0,0,84.2,3,22,8.04,8.04,7,32,4.57,2,,0,0,,0,,,,2,12,0,,0,0,0,0,,Steve Young,YounSt00
13,13,1986,1986-11-09,10,10,25.029,TAM,,CHI,L 3-23,*,22,43,51.16,220,0,1,56.3,5,32,5.12,4.07,4,23,5.75,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
14,14,1986,1986-11-16,11,11,25.036,TAM,@,GNB,L 7-31,*,20,35,57.14,234,1,2,63.3,6,34,6.69,4.69,6,33,5.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
15,15,1986,1986-11-23,12,12,25.043,TAM,,DET,L 17-38,*,23,32,71.88,218,2,2,85.2,4,25,6.81,5.25,8,53,6.63,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
16,16,1986,1986-11-30,13,13,25.050,TAM,@,MIN,L 13-45,*,14,23,60.87,113,0,1,55.2,2,12,4.91,2.96,5,35,7.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
17,17,1986,1986-12-07,14,14,25.057,TAM,@,CHI,L 14-48,*,16,32,50.00,234,1,2,58.6,3,13,7.31,5.13,4,11,2.75,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
18,18,1986,1986-12-14,15,15,25.064,TAM,,GNB,L 7-21,*,10,20,50.00,104,0,1,44.6,7,58,5.20,2.95,3,19,6.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
19,19,1986,1986-12-21,16,16,25.071,TAM,@,STL,L 17-21,*,13,34,38.24,157,1,2,38.5,0,0,4.62,2.56,1,2,2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
20,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Young,YounSt00
21,20,1987,1987-10-25,6,7,26.014,SFO,@,NOR,W 24-22,,0,0,,0,0,0,,1,9,,,0,0,,0,,0,0,,0,,,,0,0,,,,,,,,Steve Young,YounSt00
22,21,1987,1987-11-01,7,8,26.021,SFO,@,RAM,W 31-10,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
23,22,1987,1987-11-08,8,9,26.028,SFO,,HOU,W 27-20,,0,0,,0,0,0,,0,,,,1,15,15.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
24,23,1987,1987-11-15,9,10,26.035,SFO,,NOR,L 24-26,*,5,6,83.33,80,1,0,158.3,1,6,13.33,16.67,4,24,6.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
25,24,1987,1987-11-29,11,12,26.049,SFO,,CLE,W 38-24,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-3,-1.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
26,25,1987,1987-12-14,13,14,26.064,SFO,,CHI,W 41-0,,9,19,47.37,100,4,0,103.1,0,0,5.26,9.47,8,43,5.38,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
27,26,1987,1987-12-20,14,15,26.070,SFO,,ATL,W 35-7,*,13,30,43.33,216,2,0,90.4,1,10,7.20,8.53,6,83,13.83,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Steve Young,YounSt00
28,27,1987,1987-12-27,15,16,26.077,SFO,,RAM,W 48-0,*,10,13,76.92,174,3,0,157.9,0,0,13.38,18.00,4,29,7.25,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
29,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Young,YounSt00
30,28,1988,1988-09-04,1,1,26.329,SFO,@,NOR,W 34-33,,1,3,33.33,4,0,0,42.4,0,0,1.33,1.33,1,-2,-2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
31,29,1988,1988-09-11,2,2,26.336,SFO,@,NYG,W 20-17,*,11,18,61.11,115,0,0,79.6,3,14,6.39,6.39,5,48,9.60,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
32,30,1988,1988-09-25,4,4,26.350,SFO,@,SEA,W 38-7,,4,6,66.67,49,1,0,131.2,0,0,8.17,11.50,1,-1,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
