,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,2006,2006-09-10,1,1,23.115,TEN,,NYJ,L 16-23,,3,4,75.00,27,0,1,53.1,0,0,6.75,-4.50,0,0,,0,,0,0,0,,0,0,0,0,,Vince Young,YounVi00
1,2,2006,2006-09-17,2,2,23.122,TEN,@,SDG,L 7-40,,7,20,35.00,106,1,0,70.0,0,0,5.30,6.30,5,24,4.80,0,,0,0,2,0,0,2,-8,0,,Vince Young,YounVi00
2,3,2006,2006-09-24,3,3,,TEN,@,MIA,L 10-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Vince Young,YounVi00
3,4,2006,2006-10-01,4,4,23.136,TEN,,DAL,L 14-45,*,14,29,48.28,155,1,2,47.3,2,4,5.34,2.93,5,3,0.60,0,1,0,2,2,1,0,0,0,0,,Vince Young,YounVi00
4,5,2006,2006-10-08,5,5,23.143,TEN,@,IND,L 13-14,*,10,21,47.62,63,0,1,34.4,0,0,3.00,0.86,4,43,10.75,1,,1,6,0,,0,0,0,0,,Vince Young,YounVi00
5,6,2006,2006-10-15,6,6,23.150,TEN,@,WAS,W 25-22,*,13,25,52.00,161,1,0,85.6,3,10,6.44,7.24,7,9,1.29,0,,0,0,1,0,0,0,0,0,,Vince Young,YounVi00
6,7,2006,2006-10-29,7,8,23.164,TEN,,HOU,W 28-22,*,7,15,46.67,87,1,0,87.4,1,1,5.80,7.13,4,44,11.00,1,,1,6,0,0,0,0,0,0,,Vince Young,YounVi00
7,8,2006,2006-11-05,8,9,23.171,TEN,@,JAX,L 7-37,*,15,36,41.67,163,1,3,30.2,1,9,4.53,1.33,4,14,3.50,0,,0,0,1,0,0,0,0,0,,Vince Young,YounVi00
8,9,2006,2006-11-12,9,10,23.178,TEN,,BAL,L 26-27,*,13,25,52.00,211,0,1,63.9,2,6,8.44,6.64,8,39,4.88,1,,1,6,0,,0,0,0,0,,Vince Young,YounVi00
9,10,2006,2006-11-19,10,11,23.185,TEN,@,PHI,W 31-13,*,8,22,36.36,101,1,0,66.7,3,17,4.59,5.50,6,49,8.17,0,,0,0,1,0,0,1,0,0,,Vince Young,YounVi00
10,11,2006,2006-11-26,11,12,23.192,TEN,,NYG,W 24-21,*,24,35,68.57,249,2,0,107.9,2,14,7.11,8.26,10,69,6.90,1,,1,6,1,1,0,0,0,0,,Vince Young,YounVi00
