,-0.07414687679,3.752754848,,,,,,,,,,,,,,
,EXPSEP,SEPOE,TEAM,POS,CUSH,SEP,TAY,TAY%,REC,TAR,CTCH%,YDS,TD,YAC/R,xYAC/R,#ERROR!
Demarcus Robinson,3.04094483,1.15905517,KC,WR,6.6,4.2,9.6,11.27,45,59,76.27,466,3,3.9,3.6,0.3
Dan Arnold,2.8185042,1.0814958,ARI,TE,6.3,3.9,12.6,13.13,31,45,68.89,438,4,5.8,5.3,0.5
David Moore,3.063188893,1.036811107,SEA,WR,6.7,4.1,9.3,9.52,35,47,74.47,417,6,5.2,4.9,0.2
Robert Tonyan,3.166994521,1.033005479,GB,TE,6.2,4.2,7.9,11.48,52,59,88.14,586,11,4.5,5.9,-1.4
Deebo Samuel,3.597046406,1.002953594,SF,WR,6.7,4.6,2.1,2.48,33,44,75,391,1,12.3,7.8,4.4
Dawson Knox,3.13733577,0.8626642297,BUF,TE,4.9,4,8.3,7.17,24,44,54.55,288,3,7.2,6.1,1.1
Henry Ruggs,2.49967263,0.8003273701,LV,WR,7,3.3,16.9,16.76,26,43,60.47,452,2,6,5.8,0.2
Scott Miller,2.618307633,0.7816923673,TB,WR,6.2,3.4,15.3,14.49,33,53,62.26,501,3,3.8,4.1,-0.3
Allen Lazard,2.996456704,0.7035432956,GB,WR,6.2,3.7,10.2,11.58,33,46,71.74,451,3,6.1,6.4,-0.3
Marquez Valdes-Scantling,2.418111065,0.6818889346,GB,WR,5.5,3.1,18,28.07,33,63,52.38,690,6,7.6,6.4,1.2
George Kittle,3.241141398,0.6588586022,SF,TE,5.7,3.9,6.9,11.68,48,63,76.19,634,2,6.6,4.4,2.3
Christian Kirk,2.862992326,0.6370076739,ARI,WR,6.2,3.5,12,21.89,48,79,60.76,621,6,3.9,4.3,-0.4
Gabriel Davis,2.573819507,0.6261804934,BUF,WR,6.3,3.2,15.9,19.38,35,62,56.45,599,7,3.9,3.7,0.2
Tyreek Hill,2.774016074,0.625983926,KC,WR,5.6,3.4,13.2,35.59,87,135,64.44,1276,15,5.2,4.2,1
Jalen Reagor,2.72211326,0.5778867398,PHI,WR,6.5,3.3,13.9,14.49,31,54,57.41,396,1,5.6,5.7,-0.1
Jalen Guyton,2.536746068,0.5632539318,LAC,WR,6.2,3.1,16.4,19.19,28,55,50.91,511,3,6.8,4.9,1.8
Marquise Brown,2.736942636,0.5630573644,BAL,WR,7.5,3.3,13.7,39.3,58,100,58,769,8,4.8,3.9,0.9
Cam Sims,2.944553891,0.5554461094,WAS,WR,7,3.5,10.9,14.71,32,48,66.67,477,1,8.1,6.5,1.6
Jordan Akins,3.174409209,0.5255907914,HOU,TE,5.3,3.7,7.8,8.07,37,49,75.51,403,1,4.8,3.6,1.2
John Brown,2.803674825,0.4963251753,BUF,WR,4.7,3.3,12.8,13.13,33,52,63.46,458,3,5.1,4.4,0.7
Drew Sample,3.419093902,0.4809060979,CIN,TE,5.9,3.9,4.5,5.02,40,53,75.47,349,1,5.2,4.8,0.4
Tre'Quan Smith,3.048359518,0.4516404819,NO,WR,6.7,3.5,9.5,14.57,34,50,68,448,4,3.9,2.8,1
Sammy Watkins,3.152165146,0.4478348544,KC,WR,5.5,3.6,8.1,8.85,37,55,67.27,421,2,4.5,4.9,-0.4
Mecole Hardman,2.966797954,0.4332020464,KC,WR,6.3,3.4,10.6,13.05,41,62,66.13,560,4,7.2,6.4,0.8
Jakobi Meyers,2.989042017,0.4109579833,NE,WR,6.3,3.4,10.3,28.3,59,81,72.84,729,0,3.8,3.9,-0.1
Keelan Cole,2.907480452,0.3925195478,JAX,WR,6.6,3.3,11.4,20.83,55,88,62.5,642,5,3.5,3.1,0.4
Tyler Lockett,3.01128608,0.3887139203,SEA,WR,6.2,3.4,10,28.86,100,132,75.76,1054,10,3.5,4,-0.6
Christopher Herndon,3.248556085,0.3514439146,NYJ,TE,6.1,3.6,6.8,7.61,31,45,68.89,287,3,4.5,4.5,0
Cole Beasley,3.166994521,0.333005479,BUF,WR,6.2,3.5,7.9,16.56,82,107,76.64,967,4,4.5,4.7,-0.2
Darnell Mooney,2.885236389,0.3147636108,CHI,WR,7.6,3.2,11.7,24.44,61,98,62.24,631,4,4.4,3.9,0.5
Gerald Everett,3.285629524,0.3143704762,LAR,TE,5.7,3.6,6.3,10.25,41,62,66.13,417,1,6,5,1
